route_id,vehicle_string,garage_code,pvr
U7,E200Dart/Enviro200,DH,4
U9,E20D/Enviro200 MMC,DH,3
W11,MetroCity EV 9.5m,AW,9
W12,E100EV/Enviro100EV 8.5m,AW,14
W13,E20D/Enviro200,HO,8
W14,E200Dart/Enviro200,HO,2
W15,D8UR/Enviro200MMC EV,NP,20
W16,E20D/Enviro200 MMC,AW,10
W19,E20D/Enviro200,AW,18
W3,E40D/Enviro400,WN,22
W4,E20D/Enviro200 MMC,WN,14
W5,MetroCity EV 8.7m,AW,7
W6,E20D/Enviro200 MMC,WN,9
W7,Streetdeck Electroliner 10.5m,HT,11
W8,Trident/Enviro400,PB,15
W9,E200Dart/Enviro200,PB,8
