route_id,lbr_vehicle_string,bustimes_types,bustimes_observed_regs,our_make,our_vehicle_type,our_propulsion,our_deck,tfl_observed_reg_count
370,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3 | ADL Enviro400,37,VOLVO,B5LH/Gemini 3,hybrid,double,37
371,D8UR/Enviro200MMC EV,BYD D8UR ADL Enviro200EV | BYD D8UR-DD ADL Enviro400EV | Wright GB Kite Electroliner,38,BYD,D8UR/Enviro200MMC EV,electric,single,38
372,E40D/Enviro400 MMC,Wright StreetDeck Electroliner | ADL Enviro400,26,ALEXANDER DENNIS,E40D/Enviro400 MMC,diesel,double,26
375,E200Dart/Enviro200,,0,ALEXANDER DENNIS,E200Dart/Enviro200,diesel,single,1
376,D8UR/Enviro200MMC EV,ADL Enviro200,1,BYD,D8UR/Enviro200MMC EV,electric,single,12
377,Metrocity EV 9.6m,,0,SWITCH,Metrocity EV 9.6m,electric,single,4
378,E20D/Enviro200 MMC,ADL Enviro200 MMC,10,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,10
379,Metrocity EV 8.7m,Switch MetroCity EV | ADL Enviro100EV,6,ALEXANDER DENNIS,Metrocity EV 8.7m,electric,single,6
38,New Bus for London,,0,WRIGHTBUS,New Bus for London,hybrid,double,0
380,E20D/Enviro200 MMC,ADL Enviro200 | ADL Enviro200 MMC,16,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,16
381,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV | Wright StreetDeck Electroliner,35,WRIGHTBUS,DD/Enviro400EV City,electric,double,35
382,E20D/Enviro200,Volvo BZL,17,VOLVO,E20D/Enviro200,electric,single,17
383,E20D/Enviro200,ADL Enviro200,5,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,5
384,BZL (sd)/MCV,Volvo BZL | ADL Enviro200,18,VOLVO,BZL (sd)/MCV,electric,single,18
385,E200Dart/Enviro200,ADL Enviro200,2,ALEXANDER DENNIS,E200Dart/Enviro200,diesel,single,2
386,E200Dart/Enviro200,ADL Enviro200,11,ALEXANDER DENNIS,E200Dart/Enviro200,diesel,single,15
388,E40H/Enviro400H City,Wright StreetDeck Electroliner | ADL Enviro400H City | ADL Enviro400 MMC,32,ALEXANDER DENNIS,E40H/Enviro400H City,hybrid,double,32
389,E20D/Enviro200,ADL Enviro200,2,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,2
39,D8UR/Enviro200MMC EV,,0,BYD,D8UR/Enviro200MMC EV,electric,single,29
390,New Bus for London,,0,WRIGHTBUS,New Bus for London,hybrid,double,0
393,E20D/Enviro200 MMC,ADL Enviro200 | ADL Enviro200 MMC,16,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,16
394,E20D/Enviro200 MMC,ADL Enviro200 MMC,10,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,10
395,E20D/Enviro200 MMC,ADL Enviro200 MMC,7,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,7
396,D8UR/Enviro200MMC EV,,0,BYD,D8UR/Enviro200MMC EV,electric,single,7
397,E20D/Enviro200 MMC,ADL Enviro200 MMC | ADL Enviro200,13,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,13
398,D8UR/Enviro200MMC EV,BYD D8UR ADL Enviro200EV,14,BYD,D8UR/Enviro200MMC EV,electric,single,14
399,E20D/Enviro200,ADL Enviro200,2,ALEXANDER DENNIS,E20D/Enviro200,diesel,single,2
4,B5LH/EvoSeti,Volvo B5LH MCV EvoSeti | Wright StreetDeck Electroliner,32,WRIGHTBUS,B5LH/EvoSeti,hybrid,double,32
40,DD/Enviro400EV City,BYD D8UR-DD ADL Enviro400EV,32,BYD,DD/Enviro400EV City,electric,double,32
401,Trident/Enviro400,,0,WRIGHTBUS,Trident/Enviro400,electric,double,20
403,E40D/Enviro400,ADL Enviro400,9,VOLVO,E40D/Enviro400,diesel,double,18
404,E20D/Enviro200 MMC,ADL Enviro200 MMC,10,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,10
405,BYD B11E02 10.9m,BYD BD11,27,BYD,BYD B11E02 10.9m,electric,single,27
406,B5LH/Gemini 3,Volvo B5LH Wright Eclipse Gemini 3 | ADL Enviro400H | ADL Enviro400,21,VOLVO,B5LH/Gemini 3,hybrid,double,21
407,E40H/Enviro400H,ADL Enviro400H | ADL Enviro400H MMC,25,ALEXANDER DENNIS,E40H/Enviro400H,hybrid,double,25
41,DB300/Gemini 2,Volvo B5LH Wright Eclipse Gemini 3 | Volvo BZL DD | Wright StreetDeck Electroliner,53,WRIGHTBUS,DB300/Gemini 2,electric,double,53
410,E20D/Enviro200,,0,WRIGHTBUS,E20D/Enviro200,diesel,single,23
411,E20D/Enviro200 MMC,ADL Enviro200 | ADL Enviro200 MMC,14,ALEXANDER DENNIS,E20D/Enviro200 MMC,diesel,single,14
412,BYD B11E02 10.9m,BYD BD11,19,BYD,BYD B11E02 10.9m,electric,single,19
413,D8UR/Enviro200MMC EV,ADL Enviro200,1,BYD,D8UR/Enviro200MMC EV,electric,single,23
415,New Bus for London,ADL Enviro400 MMC,3,ALEXANDER DENNIS,New Bus for London,hybrid,double,3
417,Streetdeck Electroliner 10.5m,Wright StreetDeck Electroliner,25,WRIGHTBUS,Streetdeck Electroliner 10.5m,electric,double,25
418,E40D/Enviro400,Volvo B5LH Wright Eclipse Gemini 3 | ADL Enviro400H | ADL Enviro400,23,VOLVO,E40D/Enviro400,diesel,double,23
419,E200Dart/Enviro200,ADL Enviro200 MMC,33,ALEXANDER DENNIS,E200Dart/Enviro200,diesel,single,33
42,E40H/Enviro400H MMC,ADL Enviro400H MMC,25,ALEXANDER DENNIS,E40H/Enviro400H MMC,hybrid,double,28
